Open,High,Low,Close,Volume,timestamp
63302.1,63377.4,63196.3,63224.9,1111.922,1727136000
63224.9,63326.3,63190.9,63272.3,805.3790000000001,1727136900
63272.4,63299.6,62750.2,63212.2,6512.984,1727137800
63212.1,63213.0,62877.1,62881.0,3360.7879999999996,1727138700
62881.8,63074.9,62823.7,63008.5,1816.9,1727139600
63008.4,63230.5,62810.0,62900.3,2810.4130000000005,1727140500
62900.3,63011.7,62764.3,62978.1,2454.105,1727141400
62978.0,63055.2,62823.9,62908.8,942.9549999999999,1727142300
62908.8,62950.0,62688.2,62752.4,2768.4400000000005,1727143200
62752.5,62939.2,62703.4,62875.1,1455.7939999999999,1727144100
62875.0,62970.9,62777.0,62963.0,1590.5839999999998,1727145000
62963.0,63129.4,62941.5,63097.1,1935.769,1727145900
63097.1,63153.0,63025.6,63131.9,1181.301,1727146800
63131.9,63164.8,63031.9,63031.9,818.8549999999999,1727147700
63024.0,63078.9,62900.0,63068.6,1391.9959999999999,1727148600
63068.6,63150.0,63066.1,63097.6,636.835,1727149500
63097.6,63118.3,63019.4,63052.6,667.304,1727150400
63052.7,63087.7,62949.3,63087.7,627.973,1727151300
63087.6,63090.0,62993.5,62999.2,365.729,1727152200
62999.3,63054.7,62913.6,63052.7,590.9689999999999,1727153100
63052.7,63147.8,63034.9,63124.4,842.457,1727154000
63124.5,63148.0,63074.8,63145.7,677.8559999999999,1727154900
63145.7,63180.0,63085.0,63103.0,896.8750000000002,1727155800
63103.1,63199.7,63103.0,63190.9,893.681,1727156700
63190.9,63280.5,63190.9,63267.6,1256.2359999999999,1727157600
63267.6,63375.0,63228.1,63237.7,1649.1500000000003,1727158500
63237.7,63330.5,63232.2,63297.0,947.9229999999999,1727159400
63296.9,63323.2,63255.9,63275.6,604.5689999999998,1727160300
63275.7,63440.0,63268.8,63414.8,1989.121,1727161200
63414.8,63499.5,63373.7,63406.4,2198.4040000000005,1727162100
63406.3,63473.3,63358.1,63392.7,1165.3340000000003,1727163000
63392.6,63542.9,63392.6,63527.8,2217.078999999999,1727163900
63527.7,63660.0,63508.5,63581.7,2833.495000000001,1727164800
63581.8,63740.0,63541.4,63683.4,2436.5009999999997,1727165700
63683.4,63786.9,63636.1,63737.9,2758.842,1727166600
63737.9,63925.5,63722.0,63820.5,3965.0400000000004,1727167500
63820.6,63863.0,63615.3,63615.3,2624.919,1727168400
63615.4,63662.7,63535.6,63570.8,1807.8789999999995,1727169300
63570.9,63610.0,63440.0,63499.4,1805.107,1727170200
63499.4,63532.0,63467.4,63496.7,592.7469999999998,1727171100
63496.8,63584.0,63473.8,63519.9,1198.96,1727172000
